DATE,ígó‚ñ[ä∑ãC[kW],ããìí[kW],è∆ñæ[kW],ê~ñ[[kW],ó‚ë†å…[kW],å‚äyèÓïÒ[kW],â∆éñâqê∂[kW],ÇªÇÃëº[kW],î≠ê∂ÉGÉlÉãÉMÅ[[kW],çáåv[kW]
2003/9/29 17:00,0.01460195,0,0,0.3136535,0.0801335,0.02355355,0.01137715,0.08996775,0,0.5332874
2003/9/29 17:30,0.0145811,0,0,0.0862078,0.09511075,0.0235466,0.01020955,0.10395115,0,0.33360695
2003/9/29 18:00,0.014873,0,0,0.17296465,0.0845954,0.023769,0.0075616,0.1821456,0,0.48590925
2003/9/29 18:30,0.01535255,0,0,0.0011954,0.08265635,0.0238107,0.00941725,0.2049416,0,0.33737385
2003/9/29 19:00,0.0320256,0,0,0.00079925,0.08091885,0.0242694,0.0163881,0.2578728,0,0.412274
2003/9/29 19:30,0.0450499,0,0,0.1947529,0.0847761,0.0781319,0.0080064,0.21055025,0,0.62126745
2003/9/29 20:00,0.03478475,0,0,0.0008201,0.08048795,0.08806345,0.00804115,0.1777393,0,0.3899367
2003/9/29 20:30,0.03329745,0,0,0.00078535,0.07965395,0.0875839,0.00808285,0.1959066,0,0.4053101
2003/9/29 21:00,0.03324185,0,0,0.00078535,0.0780624,0.0841367,0.01451855,0.24325,0,0.45399485
2003/9/29 21:30,0.0328596,0,0,0.00078535,0.04889325,0.08747965,0.0106891,0.2090977,0,0.38980465
2003/9/29 22:00,0.03247735,0,0,0.0007506,0.0799528,0.08788275,0.00834,0.54360815,0,0.75301165
2003/9/29 22:30,0.01856345,0,0,0.0007645,0.05827575,0.0890434,0.00834,0.5592665,0,0.7342536
2003/9/29 23:00,0.0147062,0,0,0.00077145,0.06793625,0.0859437,0.01724295,0.2401086,0,0.42670915
2003/9/29 23:30,0.01479655,0,0,0.0007784,0.0777149,0.0864997,0.00868055,0.20429525,0,0.39276535
2003/9/30 0:00,0.01478265,0,0,0.00077145,0.0475797,0.03422875,0.01130765,0.1561804,0,0.2648506
2003/9/30 0:30,0.03660565,0,0,0.00078535,0.04821215,0.0301908,0.0242555,0.1541649,0,0.29421435
2003/9/30 1:00,0.0490809,0,0,0.0007784,0.0785906,0.07167535,0.03980265,0.12734485,0,0.36727275
2003/9/30 1:30,0.04457035,0,0,0.0007923,0.0474685,0.0792995,0.02675055,0.12249375,0,0.32137495
2003/9/30 2:00,0.0531119,0,0,0.0007923,0.05922095,0.07895895,0.0092157,0.1235849,0,0.3248847
2003/9/30 2:30,0.05635755,0,0,0.0007923,0.061577,0.08115515,0.01203045,0.121625,0,0.33353745
2003/9/30 3:00,0.0540015,0,0,0.0007923,0.0488446,0.0805227,0.0123154,0.1227648,0,0.3192413
2003/9/30 3:30,0.051708,0,0,0.00078535,0.0583939,0.08375445,0.010981,0.1222088,0,0.3278315
2003/9/30 4:00,0.04787855,0,0,0.0007923,0.0631894,0.09116315,0.0135803,0.12178485,0,0.33838855
2003/9/30 4:30,0.04448695,0,0,0.00078535,0.05167325,0.10627245,0.0166522,0.1225563,0,0.3424265
2003/9/30 5:00,0.0426035,0,0,0.00077145,0.04974115,0.1499254,0.0099385,0.1201933,0,0.3731733
2003/9/30 5:30,0.04237415,0,0,0.0007784,0.04432015,0.15632635,0.01928625,0.11799015,0,0.38107545
2003/9/30 6:00,0.04148455,0,0,0.0007923,0.0578657,0.1652154,0.01278105,0.11354215,0,0.39168115
2003/9/30 6:30,0.04073395,0,0,0.0007784,0.0650937,0.16402,0.0102165,0.1410155,0,0.42185805
2003/9/30 7:00,0.0400042,0,0,0.00078535,0.05459225,0.16427715,0.01570005,0.14941805,0,0.42477705
2003/9/30 7:30,0.0410884,0,0,0.1188728,0.0706537,0.1160233,0.0172221,0.12370305,0,0.48756335
2003/9/30 8:00,0.02633355,0,0,0.0008062,0.05354975,0.0875283,0.01492165,0.07574805,0,0.2588875
2003/9/30 8:30,0.01487995,0,0,0.00077145,0.0508045,0.02327555,0.01034855,0.05277135,0,0.15285135
2003/9/30 9:00,0.01474095,0,0,0.00077145,0.0484137,0.023213,0.0131494,0.05220145,0,0.15248995
2003/9/30 9:30,0.0147757,0,0,0.0007784,0.04340275,0.0232547,0.0156097,0.05178445,0,0.1496057
2003/9/30 10:00,0.0148174,0,0,0.0007923,0.05520385,0.0232686,0.012649,0.05313275,0,0.1598639
2003/9/30 10:30,0.01483825,0,0,0.00078535,0.06134765,0.02328945,0.01305905,0.05292425,0,0.166244
2003/9/30 11:00,0.0149147,0,0,0.0007923,0.0478855,0.0233103,0.0126907,0.05317445,0,0.15276795
2003/9/30 11:30,0.0149008,0,0,0.0007923,0.0582966,0.02333115,0.01540815,0.0515551,0,0.1642841
2003/9/30 12:00,0.01489385,0,0,0.0007923,0.08454675,0.0237551,0.0126629,0.05284085,0,0.18949175
2003/9/30 12:30,0.01492165,0,0,0.0007923,0.0898079,0.02328945,0.0125934,0.05421695,0,0.19562165
2003/9/30 13:00,0.0147618,0,0,0.00077145,0.076728,0.02323385,0.012371,0.05407795,0,0.18194405
2003/9/30 13:30,0.0146645,0,0,0.00077145,0.05204855,0.02316435,0.01481045,0.05188175,0,0.15734105
2003/9/30 14:00,0.01462975,0,0,0.00077145,0.04515415,0.02316435,0.0095076,0.0513188,0,0.1445461
2003/9/30 14:30,0.0146228,0,0,0.00077145,0.04550165,0.02315045,0.01475485,0.05215975,0,0.15096095
2003/9/30 15:00,0.01468535,0,0,0.0007784,0.0454391,0.02316435,0.0120652,0.05204855,0,0.14818095
2003/9/30 15:30,0.0146506,0,0,0.0007645,0.06518405,0.02315045,0.01190535,0.05214585,0,0.1678008
2003/9/30 16:00,0.0146367,0,0,0.00077145,0.05095045,0.02313655,0.0118428,0.05142305,0,0.152761
2003/9/30 16:30,0.01464365,0,0,0.00077145,0.04131775,0.02315045,0.01436565,0.051291,0,0.14553995
2003/9/30 17:00,0.0147201,0,0,0.00077145,0.04015015,0.0231991,0.00913925,0.05246555,0,0.1404456
2003/9/30 17:30,0.0146645,0,0,0.0007784,0.0594364,0.0231574,0.01159955,0.06401645,0,0.1736527
2003/9/30 18:00,0.01456025,0,0,0.0007645,0.05816455,0.0231296,0.0135803,0.0698614,0,0.1800606
2003/9/30 18:30,0.01460195,0,0,0.00077145,0.040866,0.05192345,0.00991765,0.12441195,0,0.24249245
2003/9/30 19:00,0.0146645,0,0,0.1550823,0.0593391,0.0939084,0.0144699,0.21007765,0,0.54754185
2003/9/30 19:30,0.0146784,0,0,0.33676225,0.04197105,0.0934636,0.00931995,0.3092889,0,0.80548415
2003/9/30 20:00,0.0146784,0,0,0.0382111,0.05473125,0.08968975,0.0148313,0.30436135,0,0.51650315
